cth,title,is_bin,bin_uncertain,doc_count,reason
1,Der Anitta-Text,False,False,6,no bin keyword in title
2,Fragmente mit Erwähnung Anum-Ḫirbis und der Stadt Zalpa,True,False,3,bin keyword present but title is long/specific (8 words) -- may be a real composition whose title mentions fragments; human review requested | RESOLVED 2026-07-21 (user sign-off): bin
3,Erzählung um die Stadt Zalpa und Fragmente mit Erwähnung der Stadt Zalpa,True,False,16,bin keyword present but title is long/specific (12 words) -- may be a real composition whose title mentions fragments; human review requested | RESOLVED 2026-07-21 (user sign-off): bin
4,Annalen Hattušilis I.,False,False,9,no bin keyword in title
5,Erlass Hattušilis I.,False,False,6,no bin keyword in title
7,Belagerung von Uršu,False,False,1,no bin keyword in title
8,Palastchronik,False,False,9,no bin keyword in title
9,Palastchronikfragmente,True,False,7,bin keyword + short/generic title (1 words)
10,Fragmente mit Erwähnung des Feldzugs Muršilis I. gegen Babylon,True,False,3,bin keyword present but title is long/specific (9 words) -- may be a real composition whose title mentions fragments; human review requested | RESOLVED 2026-07-21 (user sign-off): bin
11,Feldzug Muršilis I. gegen Aleppo,False,False,2,no bin keyword in title
12,Anatolische Feldzüge Muršilis I.,False,False,5,no bin keyword in title
13,Kämpfe Muršilis I.? gegen die Hurriter,False,False,4,no bin keyword in title
14,Res gestae Ḫattušilis I.,False,False,17,no bin keyword in title
16,Legendäre Erzählungen über Kämpfe mit den Hurritern,False,False,5,no bin keyword in title
17,Fragmente mit Bezug auf Kämpfe mit Hurritern,True,False,1,bin keyword present but title is long/specific (7 words) -- may be a real composition whose title mentions fragments; human review requested | RESOLVED 2026-07-21 (user sign-off): bin
18,Chronik des Ammuna,False,False,3,no bin keyword in title
19,"Telipinu-Erlass (.I Akkadisch, .II Hethitisch)",False,False,10,no bin keyword in title
20,Telipinus Feldzug gegen Laḫḫa,False,False,2,no bin keyword in title
21,"Vertrag Telipinus mit Išputaḫšu von Kizzuwatna (.I Akkadisch, .II Hethitisch)",False,False,5,no bin keyword in title
22,Fragment mit Erwähnung Telipinus,True,False,1,bin keyword + short/generic title (4 words)
23,Fragmente mit Erwähnung Alluwamnas,True,False,4,bin keyword + short/generic title (4 words)
24,Fragmente mit Erwähnung Pimpiras,True,False,9,bin keyword + short/generic title (4 words)
25,Vertrag Zidanzas II. mit Pillija von Kizzuwatna,False,False,1,no bin keyword in title
26,Vertrag eines hethitischen Königs mit Paddatiššu von Kizzuwatna,False,False,1,no bin keyword in title
27,Vertrag mit den Ḫabiru,False,False,1,no bin keyword in title
28,Mittelhethitischer Vertrag,False,False,1,no bin keyword in title
29,Vertrag Taḫurwailis mit Eḫeja von Kizzuwatna,False,False,2,no bin keyword in title
39,Althethitische historische Fragmente,True,False,14,bin keyword + short/generic title (3 words)
40,Šuppiluliumas Mannestaten,False,False,77,no bin keyword in title
41,"Vertrag Tutḫalijas I. mit Šunaššura von Kizzuwatna (.I Akkadisch, .II Hethitisch)",False,False,5,no bin keyword in title
42,Vertrag Šuppiluliumas I. mit Ḫukkana von Ḫayaša,False,False,2,no bin keyword in title
44,Erlass Šuppiluliumas über das Priestertum des Telipinu im Lande Kizzuwatna,False,False,2,no bin keyword in title
49,"Vertrag Šuppiluliumas I. mit Aziru von Amurru (.I Akkadisch, .II Hethitisch)",False,False,10,no bin keyword in title
50,Vertrag Šuppiluliumas I. mit Šarri-Kušuḫ von Karkamiš,False,False,1,no bin keyword in title
51,"Vertrag Šuppiluliumas I. mit Šattiwaza von Mitanni (.I Akkadisch, .II Hethitisch)",False,False,4,no bin keyword in title
52,"Vertrag Šattiwazas von Mitanni mit Šuppiluliuma I. (.I Akkadisch, .II Hethitisch)",False,False,1,no bin keyword in title
53,Vertrag Šuppiluliumas I. mit Tette von Nuḫašše,False,False,7,no bin keyword in title
57,Erlass Muršilis II. über die Anerkennung des Status seines Bruders Pijaššili/Šarri-Kušuḫ in Karkamiš,False,False,1,no bin keyword in title
58,Bericht Arnuwandas II. über Taten seines Vaters Šuppiluliuma I.,False,False,1,no bin keyword in title
61,"Annalen Muršilis II. (.I Zehnjahresannalen, .II Ausführliche Annalen, .III nicht zugeordnete Fragmente)",True,False,57,bin keyword present but title is long/specific (12 words) -- may be a real composition whose title mentions fragments; human review requested | RESOLVED 2026-07-21 (user sign-off): bin
62,"Vertrag Muršilis II. mit Duppi-Teššup von Amurru (.I Akkadisch, .II Hethitisch)",False,False,6,no bin keyword in title
63,Rechtssprüche zum Grenzkonflikt zwischen Nuḫašše und Barga sowie Übereinkunft mit Duppi-Teššup von Amurru,False,False,11,no bin keyword in title
67,Vertrag Muršilis II. mit Targašnalli von Ḫapalla,False,False,1,no bin keyword in title
68,Vertrag Muršilis II. mit Kupanta-Kurunta von Mira und Kuwalija,False,False,27,no bin keyword in title
69,Vertrag Muršilis II. mit Manapa-Tarḫunta von Šēḫa,False,False,4,no bin keyword in title
70,Gebet Muršilis II. über Untaten und Verbannung der Tawananna (Witwe Šuppiluliumas I.),False,False,11,no bin keyword in title
72,"Bericht Muršilis II. über Auseinandersetzungen mit Ägypten in Syrien, mit Gebet an die Götterversammlung",False,False,1,no bin keyword in title
75,Vertrag Muwattallis II. mit Talmi-Šarrumma von Aleppo,False,False,5,no bin keyword in title
76,Vertrag Muwattallis II. mit Alakšandu von Wiluša,False,False,2,no bin keyword in title
78,Vertrag mit Ḫayaša,False,False,5,no bin keyword in title
