cth,title,fetch_date,source
1,Der Anitta-Text,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
2,Fragmente mit Erwähnung Anum-Ḫirbis und der Stadt Zalpa,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
3,Erzählung um die Stadt Zalpa und Fragmente mit Erwähnung der Stadt Zalpa,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
4,Annalen Hattušilis I.,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
5,Erlass Hattušilis I.,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
7,Belagerung von Uršu,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
8,Palastchronik,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
9,Palastchronikfragmente,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
10,Fragmente mit Erwähnung des Feldzugs Muršilis I. gegen Babylon,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
11,Feldzug Muršilis I. gegen Aleppo,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
12,Anatolische Feldzüge Muršilis I.,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
13,Kämpfe Muršilis I.? gegen die Hurriter,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
14,Res gestae Ḫattušilis I.,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
16,Legendäre Erzählungen über Kämpfe mit den Hurritern,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
17,Fragmente mit Bezug auf Kämpfe mit Hurritern,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
18,Chronik des Ammuna,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
19,"Telipinu-Erlass (.I Akkadisch, .II Hethitisch)",2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
20,Telipinus Feldzug gegen Laḫḫa,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
21,"Vertrag Telipinus mit Išputaḫšu von Kizzuwatna (.I Akkadisch, .II Hethitisch)",2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
22,Fragment mit Erwähnung Telipinus,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
23,Fragmente mit Erwähnung Alluwamnas,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
24,Fragmente mit Erwähnung Pimpiras,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
25,Vertrag Zidanzas II. mit Pillija von Kizzuwatna,2026-07-20,http://web.archive.org/web/20250514171511/https://www.hethport.uni-wuerzburg.de/CTH/index.php
