file,error
TLHbasisONLINE25.1_ZENODO/CTH 341_XML/KBo 22.91.xml,"mismatched tag: line 76, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 341_XML/KUB 60.14.xml,"mismatched tag: line 14, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 341_XML/KBo 10.47c.xml,"mismatched tag: line 155, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 547_XML/KBo 8.8.xml,"not well-formed (invalid token): line 4, column 30"
TLHbasisONLINE25.1_ZENODO/CTH 209_XML/KBo 12.55.xml,"not well-formed (invalid token): line 10, column 93"
TLHbasisONLINE25.1_ZENODO/CTH 585_XML/585_u+.xml,"not well-formed (invalid token): line 24, column 1132"
TLHbasisONLINE25.1_ZENODO/CTH 546_XML/KUB 4.43.xml,"not well-formed (invalid token): line 6, column 231"
TLHbasisONLINE25.1_ZENODO/CTH 546_XML/KUB 4.44.xml,"not well-formed (invalid token): line 16, column 300"
TLHbasisONLINE25.1_ZENODO/CTH 381_XML/KBo 54.281.xml,"mismatched tag: line 10, column 523"
TLHbasisONLINE25.1_ZENODO/CTH 381_XML/KUB 6.46.xml,"mismatched tag: line 123, column 2830"
TLHbasisONLINE25.1_ZENODO/CTH 544_XML/KUB 34.22+.xml,"not well-formed (invalid token): line 21, column 106"
TLHbasisONLINE25.1_ZENODO/CTH 41_XML/KUB 8.81+.xml,"mismatched tag: line 11, column 144"
TLHbasisONLINE25.1_ZENODO/CTH 41_XML/KUB 36.127.xml,"mismatched tag: line 6, column 513"
TLHbasisONLINE25.1_ZENODO/CTH 790_XML/KBo 64.188.xml,"mismatched tag: line 8, column 211"
TLHbasisONLINE25.1_ZENODO/CTH 394_XML/Bo 3353.xml,"mismatched tag: line 20, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 425_XML/KUB 17.16.xml,"duplicate attribute: line 16, column 65"
TLHbasisONLINE25.1_ZENODO/CTH 409_XML/KBo 53.35+.xml,"mismatched tag: line 4, column 110"
TLHbasisONLINE25.1_ZENODO/CTH 780_XML/KBo 64.186.xml,"mismatched tag: line 4, column 178"
TLHbasisONLINE25.1_ZENODO/CTH 582_XML/IBoT 4.45.xml,"not well-formed (invalid token): line 9, column 106"
TLHbasisONLINE25.1_ZENODO/CTH 582_XML/KUB 52.46.xml,"not well-formed (invalid token): line 10, column 195"
TLHbasisONLINE25.1_ZENODO/CTH 582_XML/VSNF 12.150.xml,"not well-formed (invalid token): line 5, column 32"
TLHbasisONLINE25.1_ZENODO/CTH 582_XML/KBo 46.126.xml,"not well-formed (invalid token): line 10, column 839"
TLHbasisONLINE25.1_ZENODO/CTH 756_XML/KBo 29.31+.xml,"not well-formed (invalid token): line 57, column 201"
TLHbasisONLINE25.1_ZENODO/CTH 144_XML/KUB 26.29+.xml,"mismatched tag: line 13, column 364"
TLHbasisONLINE25.1_ZENODO/CTH 352_XML/KUB 36.39.xml,"mismatched tag: line 38, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 420_XML/KBo 53.31.xml,"mismatched tag: line 5, column 211"
TLHbasisONLINE25.1_ZENODO/CTH 420_XML/KBo 59.74.xml,"mismatched tag: line 2, column 39"
TLHbasisONLINE25.1_ZENODO/CTH 346_XML/KBo 26.88.xml,"mismatched tag: line 26, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 813_XML/KUB 37.25.xml,"syntax error: line 1, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 52_XML/KBo 1.3+.xml,"not well-formed (invalid token): line 72, column 169"
TLHbasisONLINE25.1_ZENODO/CTH 580_XML/KBo 53.110+.xml,"not well-formed (invalid token): line 150, column 110"
TLHbasisONLINE25.1_ZENODO/CTH 90_XML/KBo 22.73+.xml,"mismatched tag: line 65, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 812_XML/KBo 36.30.xml,"mismatched tag: line 14, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 392_XML/KBo 27.108+.xml,"not well-formed (invalid token): line 85, column 68"
TLHbasisONLINE25.1_ZENODO/CTH 345_XML/KBo 26.99.xml,"not well-formed (invalid token): line 3, column 26"
TLHbasisONLINE25.1_ZENODO/CTH 345_XML/KUB 33.98.xml,"not well-formed (invalid token): line 6, column 1071"
TLHbasisONLINE25.1_ZENODO/CTH 450_XML/KUB 12.22.xml,"mismatched tag: line 33, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 336_XML/KUB 33.57.xml,"mismatched tag: line 10, column 221"
TLHbasisONLINE25.1_ZENODO/CTH 336_XML/KUB 33.52.xml,"mismatched tag: line 20, column 227"
TLHbasisONLINE25.1_ZENODO/CTH 336_XML/KUB 33.60.xml,"mismatched tag: line 19, column 227"
TLHbasisONLINE25.1_ZENODO/CTH 336_XML/KUB 33.59.xml,"mismatched tag: line 17, column 250"
TLHbasisONLINE25.1_ZENODO/CTH 487_XML/KUB 12.24.xml,"mismatched tag: line 45, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 726_XML/KBo 43.176.xml,"not well-formed (invalid token): line 4, column 58"
TLHbasisONLINE25.1_ZENODO/CTH 530_XML/KBo 13.252.xml,"not well-formed (invalid token): line 29, column 109"
TLHbasisONLINE25.1_ZENODO/CTH 530_XML/IBoT 2.131.xml,"mismatched tag: line 5, column 320"
TLHbasisONLINE25.1_ZENODO/CTH 294_XML/KBo 31.43.xml,"mismatched tag: line 26, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 479_XML/KBo 41.49+.xml,"mismatched tag: line 88, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 445_XML/KBo 59.9.xml,"mismatched tag: line 13, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 447_XML/KBo 11.72+.xml,"not well-formed (invalid token): line 38, column 1180"
TLHbasisONLINE25.1_ZENODO/CTH 527_XML/DAAM 1.39.xml,"not well-formed (invalid token): line 26, column 409"
TLHbasisONLINE25.1_ZENODO/CTH 527_XML/KUB 38.7.xml,"not well-formed (invalid token): line 8, column 202"
TLHbasisONLINE25.1_ZENODO/CTH 297_XML/KBo 31.47.xml,"not well-formed (invalid token): line 10, column 194"
TLHbasisONLINE25.1_ZENODO/CTH 297_XML/KBo 8.30.xml,"not well-formed (invalid token): line 7, column 104"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/KBo 13.235.xml,"not well-formed (invalid token): line 19, column 74"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/KBo 49.310.xml,"mismatched tag: line 47, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/KUB 42.100+.xml,"mismatched tag: line 41, column 265"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/KUB 38.29.xml,"not well-formed (invalid token): line 15, column 540"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/KUB 25.23+.xml,"not well-formed (invalid token): line 69, column 257"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/KBo 26.151.xml,"not well-formed (invalid token): line 7, column 74"
TLHbasisONLINE25.1_ZENODO/CTH 526_XML/VS.NF 12.111.xml,"mismatched tag: line 12, column 514"
TLHbasisONLINE25.1_ZENODO/CTH 718_XML/KUB 39.75+.xml,"not well-formed (invalid token): line 25, column 49"
TLHbasisONLINE25.1_ZENODO/CTH 334_XML/KBo 52.9.xml,"mismatched tag: line 44, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 324_XML/KUB 33.5.xml,"mismatched tag: line 41, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 324_XML/IBoT 3.141.xml,"mismatched tag: line 34, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 495_XML/KUB 39.54+.xml,"mismatched tag: line 63, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 734_XML/KBo 37.120.xml,"not well-formed (invalid token): line 3, column 28"
TLHbasisONLINE25.1_ZENODO/CTH 734_XML/KBo 37.21.xml,"not well-formed (invalid token): line 28, column 258"
TLHbasisONLINE25.1_ZENODO/CTH 537_XML/KUB 37.202.xml,"not well-formed (invalid token): line 4, column 73"
TLHbasisONLINE25.1_ZENODO/CTH 537_XML/KUB 4.53.xml,"mismatched tag: line 7, column 177"
TLHbasisONLINE25.1_ZENODO/CTH 537_XML/KUB 34.6+.xml,"not well-formed (invalid token): line 14, column 437"
TLHbasisONLINE25.1_ZENODO/CTH 537_XML/KBo 9.49.xml,"not well-formed (invalid token): line 28, column 209"
TLHbasisONLINE25.1_ZENODO/CTH 641_XML/HFAC 54+.xml,"not well-formed (invalid token): line 65, column 130"
TLHbasisONLINE25.1_ZENODO/CTH 333_XML/Bo 4861.xml,"not well-formed (invalid token): line 3, column 492"
TLHbasisONLINE25.1_ZENODO/CTH 332_XML/IBoT 2.114.xml,"mismatched tag: line 6, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 277_XML/KBo 31.5+.xml,"not well-formed (invalid token): line 63, column 45"
TLHbasisONLINE25.1_ZENODO/CTH 289_XML/KUB 43.74.xml,"mismatched tag: line 2, column 39"
TLHbasisONLINE25.1_ZENODO/CTH 458_XML/KBo 56.227.xml,"mismatched tag: line 4, column 74"
TLHbasisONLINE25.1_ZENODO/CTH 458_XML/KBo 69.121.xml,"not well-formed (invalid token): line 4, column 145"
TLHbasisONLINE25.1_ZENODO/CTH 470_XML/IBoT 4.286.xml,"not well-formed (invalid token): line 8, column 135"
TLHbasisONLINE25.1_ZENODO/CTH 470_XML/KBo 47.30.xml,"not well-formed (invalid token): line 14, column 70"
TLHbasisONLINE25.1_ZENODO/CTH 470_XML/DBH 46_2.51.xml,"mismatched tag: line 14, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 470_XML/KBo 44.69.xml,"mismatched tag: line 4, column 69"
TLHbasisONLINE25.1_ZENODO/CTH 470_XML/KBo 44.87.xml,"not well-formed (invalid token): line 8, column 30"
TLHbasisONLINE25.1_ZENODO/CTH 670_XML/KBo 56.123.xml,"mismatched tag: line 30, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/KBo 21.7.xml,"not well-formed (invalid token): line 4, column 215"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/KBo 10.36.xml,"mismatched tag: line 63, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/KBo 15.12.xml,"not well-formed (invalid token): line 12, column 2811"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/KBo 15.15.xml,"mismatched tag: line 5, column 109"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/KBo 24.96.xml,"not well-formed (invalid token): line 4, column 136"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/KUB 12.16.xml,"not well-formed (invalid token): line 4, column 189"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/IBoT 3.129.xml,"not well-formed (invalid token): line 4, column 692"
TLHbasisONLINE25.1_ZENODO/CTH 448_XML/VBoT 38.xml,"not well-formed (invalid token): line 4, column 152"
TLHbasisONLINE25.1_ZENODO/CTH 460_XML/KBo 56.45.xml,"mismatched tag: line 5, column 79"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/DAAM 1.51.xml,"not well-formed (invalid token): line 10, column 94"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/ABoT 2.120.xml,"not well-formed (invalid token): line 28, column 78"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KBo 13.192.xml,"not well-formed (invalid token): line 19, column 278"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KBo 53.100.xml,"not well-formed (invalid token): line 10, column 73"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/IBoT 4.34.xml,"not well-formed (invalid token): line 8, column 146"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KBo 26.227.xml,"not well-formed (invalid token): line 33, column 94"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KBo 22.222.xml,"not well-formed (invalid token): line 13, column 1751"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KBo 26.205.xml,"not well-formed (invalid token): line 13, column 1064"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KBo 54.164.xml,"mismatched tag: line 20, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 528_XML/KUB 56.39.xml,"not well-formed (invalid token): line 104, column 158"
TLHbasisONLINE25.1_ZENODO/CTH 529_XML/DAAM 1.36.xml,"not well-formed (invalid token): line 111, column 1980"
TLHbasisONLINE25.1_ZENODO/CTH 529_XML/KBo 12.53+.xml,"mismatched tag: line 24, column 212"
TLHbasisONLINE25.1_ZENODO/CTH 529_XML/KUB 53.21.xml,"not well-formed (invalid token): line 14, column 656"
TLHbasisONLINE25.1_ZENODO/CTH 412_XML/KBo 40.350.xml,"mismatched tag: line 2, column 40"
TLHbasisONLINE25.1_ZENODO/CTH 412_XML/KBo 38.169.xml,"mismatched tag: line 2, column 40"
TLHbasisONLINE25.1_ZENODO/CTH 348_XML/KBo 57.230+.xml,"not well-formed (invalid token): line 7, column 798"
TLHbasisONLINE25.1_ZENODO/CTH 348_XML/KBo 26.73.xml,"not well-formed (invalid token): line 5, column 127"
TLHbasisONLINE25.1_ZENODO/CTH 6_XML/KUB 40.65+.xml,"not well-formed (invalid token): line 233, column 260"
TLHbasisONLINE25.1_ZENODO/CTH 76_XML/KUB 19.6+.xml,"not well-formed (invalid token): line 43, column 158"
TLHbasisONLINE25.1_ZENODO/CTH 573_XML/KUB 18.15+.xml,"mismatched tag: line 49, column 117"
TLHbasisONLINE25.1_ZENODO/CTH 573_XML/KUB 49.62.xml,"mismatched tag: line 6, column 114"
TLHbasisONLINE25.1_ZENODO/CTH 573_XML/KUB 57.44+.xml,"mismatched tag: line 6, column 336"
TLHbasisONLINE25.1_ZENODO/CTH 573_XML/KUB 16.69.xml,"mismatched tag: line 46, column 153"
TLHbasisONLINE25.1_ZENODO/CTH 573_XML/KBo 41.184.xml,"mismatched tag: line 9, column 118"
TLHbasisONLINE25.1_ZENODO/CTH 573_XML/KBo 32.123.xml,"mismatched tag: line 24, column 223"
TLHbasisONLINE25.1_ZENODO/CTH 411_XML/KBo 41.40+.xml,"mismatched tag: line 60, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 820_XML/VSNF 12.17.xml,"not well-formed (invalid token): line 18, column 111"
TLHbasisONLINE25.1_ZENODO/CTH 820_XML/KUB 48.15.xml,"mismatched tag: line 22, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 820_XML/KBo 37.83.xml,"not well-formed (invalid token): line 8, column 51"
TLHbasisONLINE25.1_ZENODO/CTH 767_XML/KBo 35.175.xml,"mismatched tag: line 2, column 40"
TLHbasisONLINE25.1_ZENODO/CTH 565_XML/C╠ºorum 6-1-96.xml,"mismatched tag: line 23, column 233"
TLHbasisONLINE25.1_ZENODO/CTH 61_XML/KBo 50.30+.xml,"not well-formed (invalid token): line 4, column 166"
TLHbasisONLINE25.1_ZENODO/CTH 61_XML/KBo 50.19.xml,"not well-formed (invalid token): line 5, column 61"
TLHbasisONLINE25.1_ZENODO/CTH 570_XML/KBo 58.79+.xml,"not well-formed (invalid token): line 23, column 704"
TLHbasisONLINE25.1_ZENODO/CTH 570_XML/KUB 50.123.xml,"mismatched tag: line 12, column 103"
TLHbasisONLINE25.1_ZENODO/CTH 612_XML/KUB 10.7.xml,"mismatched tag: line 2, column 38"
TLHbasisONLINE25.1_ZENODO/CTH 400_XML/KUB 30.35+.xml,"mismatched tag: line 29, column 246"
TLHbasisONLINE25.1_ZENODO/CTH 400_XML/ABoT 2.24.xml,"mismatched tag: line 10, column 211"
TLHbasisONLINE25.1_ZENODO/CTH 400_XML/KUB 30.34+.xml,"mismatched tag: line 13, column 290"
TLHbasisONLINE25.1_ZENODO/CTH 372_XML/KUB 31.133.xml,"mismatched tag: line 28, column 268"
TLHbasisONLINE25.1_ZENODO/CTH 372_XML/KUB 31.127+.xml,"mismatched tag: line 158, column 199"
TLHbasisONLINE25.1_ZENODO/CTH 372_XML/KUB 31.128.xml,"mismatched tag: line 14, column 250"
TLHbasisONLINE25.1_ZENODO/CTH 372_XML/KBo 14.74.xml,"mismatched tag: line 10, column 177"
TLHbasisONLINE25.1_ZENODO/CTH 616_XML/KBo 39.61.xml,"mismatched tag: line 18, column 2"
TLHbasisONLINE25.1_ZENODO/CTH 825_XML/KUB 10.96.xml,"not well-formed (invalid token): line 5, column 30"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 49.34.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.124.xml,"not well-formed (invalid token): line 6, column 52"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.130.xml,"not well-formed (invalid token): line 8, column 54"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 44.255.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.193.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/ABoT 2.257.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 37.99.xml,"not well-formed (invalid token): line 6, column 78"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 40.110.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 57.227.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 66.2.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 48.67.xml,"not well-formed (invalid token): line 5, column 59"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/VSNF 12.141.xml,"not well-formed (invalid token): line 5, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 44.253.xml,"not well-formed (invalid token): line 4, column 52"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 23.102.xml,"not well-formed (invalid token): line 7, column 113"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.235.xml,"not well-formed (invalid token): line 7, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 56.194.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/CHDS 2.152.xml,"not well-formed (invalid token): line 4, column 64"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 3.52.xml,"not well-formed (invalid token): line 4, column 50"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 35.9.xml,"not well-formed (invalid token): line 6, column 0"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 37.153.xml,"not well-formed (invalid token): line 4, column 54"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 51.239.xml,"not well-formed (invalid token): line 4, column 81"
TLHbasisONLINE25.1_ZENODO/CTH 831_XML/KBo 49.82.xml,"not well-formed (invalid token): line 4, column 51"
