prefix,count,example_doc_ids
CHDS,850,CHDS 3.7; CHDS 4.40; CHDS 5.45
DBH,399,DBH 46_2.145; DBH 43_2.148; DBH 43_2.125
FHL,165,FHL 123; FHL 87; FHL 186
DAAM,159,DAAM 2.6; DAAM 1.53; DAAM 1.54
UBT,158,UBT 147; UBT 99; UBT 31
VSNF,123,VSNF 12.42; VSNF 12.10; VSNF 12.132
HFAC,122,HFAC 104; HFAC 50; HFAC 93
Privat,36,Privat 159; Privat 8; Privat 25
HHCTO,16,HHCTO 1; HHCTO 12; HHCTO 11
Gurney,13,Gurney 5; Gurney 14; Gurney 9
Dispersa,10,Dispersa 2; Dispersa 23; Dispersa 27
FHG,8,FHG 22; FHG 4; FHG 16
HHT,7,HHT 36; HHT 69; HHT 81
Durham,7,Durham 2467; Durham 2464; Durham 2461
Kp,7,Kp 15_45a; Kp 22_356-357_20; Kp 19_671
AMUM,6,AMUM 2431; AMUM 1997; AMUM 1998
München,4,München 4; München 2; München 1
AAA3,4,AAA3 Nr.3; AAA3 Nr.2; AAA3 Nr.4
UK,4,UK 12.E.5; UK 12.E.4; UK 12.E.3
VAT,4,VAT 7767; VAT 7463; VAT 7436
BS,4,BS 362; BS 365; BS 363
München,4,München 3; München 8; München 6
HFDC,4,HFDC 3; HFDC 4; HFDC 1
Kayseri,4,Kayseri 290; Kayseri 289; Kayseri 286
P.,4,P. 2; P. 3; P. 4
BKT,3,BKT 2; BKT 1; BKT 3
Lewis,3,Lewis 2; Lewis 3; Lewis 1
İzmir,3,İzmir 1270+; İzmir 1274; İzmir 1275
AnAr,3,AnAr 10605; AnAr 10753; AnAr 10590
Ermitage,3,Ermitage 15597; Ermitage 15595; Ermitage 15602
L,3,L 29-627; L 29-616; L 29-614
Kelly,2,Kelly B; Kelly A
Fragm.,2,Fragm. Jendryschik; Fragm. Pye
Merzifon,2,Merzifon 3; Merzifon I
VS.NF,2,VS.NF 12.113; VS.NF 12.47
NBC,2,NBC 3842; NBC 3934
Çorum,2,Çorum 1-1-2018; Çorum 2
AO,2,AO 9411.44renum.; AO 9411.36renum.
Greifswald,2,Greifswald 1; Greifswald 2
616_KUB,2,616_KUB 44.2+; 616_KUB 44.3
342_u+,1,342_u+
TC-4F05h,1,TC-4F05h
AAA,1,AAA 3 Nr.5
278_q,1,278_q
412_w,1,412_w
247_q,1,247_q
72_r,1,72_r
1249_v,1,1249_v
1308_v,1,1308_v
1215_v,1,1215_v
1029_u,1,1029_u
1296_v,1,1296_v
1235_v,1,1235_v
1312_v,1,1312_v
1309_v,1,1309_v
1234_v,1,1234_v
1236_v,1,1236_v
248_w+,1,248_w+
236_v,1,236_v
1384_u,1,1384_u
566_v+,1,566_v+
1409_u,1,1409_u
1381_u,1,1381_u
1421_u,1,1421_u
1407_u,1,1407_u
162_k+,1,162_k+
30_p,1,30_p
518_z,1,518_z
304_e,1,304_e
595_u,1,595_u
140_f,1,140_f
549_c,1,549_c
655_f,1,655_f
806_b,1,806_b
609_v,1,609_v
426_u,1,426_u
2078_g,1,2078_g
İK,1,İK 174-66
605_f,1,605_f
680_f,1,680_f
275_f,1,275_f
621_f,1,621_f
498_t,1,498_t
762_f,1,762_f
301_z,1,301_z
831_f,1,831_f
235_p,1,235_p
389_f,1,389_f
1312_u,1,1312_u
810_f,1,810_f
1325_z,1,1325_z
Tarsus,1,Tarsus 1
165_hB,1,165_hB
2064_g,1,2064_g
681_f,1,681_f
165_hA,1,165_hA
394_f,1,394_f
544/f,1,544/f
TA.09.E.202,1,TA.09.E.202
TA.10.E.186,1,TA.10.E.186
P,1,P 5
482/u,1,482/u
€7},1,€7}
UK15.E.62,1,UK15.E.62
UK09.E.2,1,UK09.E.2
Ku,1,Ku 99_153
YH,1,YH 2005_1
1136/u,1,1136/u
E,1,E 765
IMJ,1,IMJ 2004.58.13
2030/g,1,2030/g
RBC,1,RBC 2625
Montserrat,1,Montserrat 2
ALH-2013_25,1,ALH-2013_25
11_c,1,11_c
HS,1,HS 750D
OyT,1,OyT 13_2
197_r,1,197_r
Çorum,1,Çorum 9093
1307_z,1,1307_z
HAM,1,HAM 1992.256.6
StBoTB,1,StBoTB 1
ME,1,ME 110
531_z,1,531_z
1198/u+,1,1198/u+
93/w+,1,93/w+
IBot,1,IBot 4.102
€1},1,€1}
Malloy,1,Malloy 1
ZA,1,"ZA 71, Nr. 72"
Winckler,1,Winckler 414
Oy.,1,Oy. 12-401
230_f,1,230_f
1195/c,1,1195/c
A,1,A -18-71
ASJ,1,ASJ 14-T 43
H,1,H 6193a
959/u,1,959/u
888/z,1,888/z
677/u,1,677/u
Hobbit,1,Hobbit
336/u,1,336/u
849/u,1,849/u
461/u,1,461/u
832/u,1,832/u
